article_id,titre,texte,categorie,source,date_publication,nb_mots,prediction,latence_ms
1,Budget 2025 adopté en première lecture à l'Assemblée,"Selon nos informations, après trois semaines de débats et l'utilisation du 49-3, l'Assemblée a adopté le PLF 2025 visant un déficit à 3,2 pourcent du PIB.",politique,Le Monde,2024-10-17,26,economie,543.5201999998753
2,Fraude fiscale : cinq ans de prison ferme pour l'homme d'affaires,Le tribunal de Paris condamne un homme d'affaires à cinq ans ferme et deux millions d'euros d'amende pour fraude fiscale et blanchiment. Les autorités compétentes n'ont pas commenté.,faits_divers,Le Monde,2024-01-02,28,politique,588.6771000004956
3,Sommet franco-allemand à l'Élysée,Mise à jour — Le président a accueilli son homologue allemand pour un sommet bilatéral sur la politique énergétique européenne. Une déclaration commune a été signée sur la refondation de Schengen.,politique,Libération,2024-02-05,31,politique,583.366500000011
4,Paralympiques de Paris : record d'audience télévisée,"Les Jeux paralympiques de Paris 2024 établissent un record avec 4,2 millions de téléspectateurs par soirée, soit une progression de 40 pourcent.",sport,Reuters,2024-11-12,22,sport,514.8872999998275
5,Roland-Garros : Djokovic s'offre un 24e titre majeur,"Selon nos informations, djokovic remporte son vingt-quatrième titre du Grand Chelem sur la terre battue parisienne en quatre sets face à son adversaire espagnol.",sport,Libération,2024-07-06,24,sport,547.4660999998378
6,Disparition d'une adolescente dans le Vaucluse,Mise à jour — Les gendarmes du Vaucluse lancent un avis de recherche après la disparition d'une adolescente de quinze ans depuis quatre jours.,faits_divers,Libération,2024-07-01,24,faits_divers,538.2929999996122
7,Bordeaux bascule à gauche après vingt ans,"La candidate de gauche a remporté la mairie de Bordeaux avec 53,2 pourcent des voix, mettant fin à vingt ans de gestion de droite. Les autorités compétentes n'ont pas commenté.",politique,Le Parisien,2024-11-17,30,politique,530.3197999992335
8,"Tempête Ciaran : douze départements en rouge, vents à 200 km/h",,faits_divers,AFP,2024-03-12,0,faits_divers,466.43159999985073
9,Élections régionales : sondages favorables à l'opposition,,politique,Libération,2024-11-15,0,politique,414.38150000067253
10,Tour de France : le maillot jaune résiste dans les Alpes,"Selon nos informations, le porteur du maillot jaune a conservé son avantage lors de la quinzième étape arrivée à l'Alpe d'Huez. Landa gagne l'étape, le classement général reste inchangé.",sport,Libération,2024-05-10,29,sport,579.2946000001393
11,Paralympiques de Paris : record d'audience télévisée,"Mise à jour — Les Jeux paralympiques de Paris 2024 établissent un record avec 4,2 millions de téléspectateurs par soirée, soit une progression de 40 pourcent.",sport,Le Figaro,2024-12-16,26,sport,498.10079999951995
12,Meurtre à Nantes : un suspect interpellé,"Selon nos informations, la PJ nantaise a interpellé un homme de trente-deux ans soupçonné du meurtre d'un voisin dans le quartier Bellevue quarante-huit heures après les faits.",faits_divers,Reuters,2024-11-19,27,faits_divers,558.0571999998938
13,La BCE relève ses taux pour la troisième fois,"La Banque centrale européenne relève ses taux de 25 points de base, portant le taux de dépôt à 4,25 pourcent. Les autorités compétentes n'ont pas commenté.",economie,Le Monde,2024-09-06,26,politique,523.2088000002477
14,Le Sénat rejette l'amendement sur la proportionnelle,"Selon nos informations, par cent quarante-deux voix contre quatre-vingt-sept, le Sénat a rejeté l'amendement sur la dose de proportionnelle. Ce vote constitue un revers pour l'exécutif.",politique,Reuters,2024-02-05,26,faits_divers,591.5102999997544
15,Ballon d'Or : le milieu du Real Madrid sacré pour la quatrième fois,Mise à jour — Le milieu de terrain du Real Madrid remporte le Ballon d'Or pour la quatrième fois de sa carrière lors de la cérémonie au Châtelet à Paris.,sport,Reuters,2024-08-20,30,sport,530.4230000001553
16,Léon Marchand améliore son record du monde du 200 m brasse,"Mise à jour — Dans le Centre aquatique olympique, Léon Marchand abaisse de sept centièmes son propre record du monde du 200 mètres brasse.",sport,Le Parisien,2024-09-25,24,sport,523.8912000004348
17,Versailles ouvre son programme pour les scolaires défavorisés,Le château de Versailles lance un programme d'éducation artistique permettant à 50 000 élèves des quartiers prioritaires de visiter le domaine chaque année. Les autorités compétentes n'ont pas commenté.,culture,Le Figaro,2024-01-28,29,culture,574.0273000001253
18,Remaniement : trois secrétaires d'État remplacés,Mise à jour — L'Élysée a confirmé le remplacement de trois secrétaires d'État suite aux résultats décevants des dernières élections municipales partielles.,politique,Libération,2024-03-12,22,politique,563.1786000003558
19,La BCE relève ses taux pour la troisième fois,"La Banque centrale européenne relève ses taux de 25 points de base, portant le taux de dépôt à 4,25 pourcent. Les autorités compétentes n'ont pas commenté.",economie,Libération,2024-12-16,26,politique,552.1595999998681
20,Incendie à Aubervilliers : sept blessés,"Un violent incendie s'est déclaré dans un immeuble de dix étages à Aubervilliers, causant sept blessés dont trois graves après inhalation de fumées toxiques.",faits_divers,Le Monde,2024-12-26,24,faits_divers,536.9918000005782
21,TotalEnergies annonce un bénéfice record de 19 milliards,"Le groupe pétrolier publie 19,2 milliards d'euros de bénéfice net, en hausse de 28 pourcent. Hausse du dividende et rachat d'actions annoncés. Les autorités compétentes n'ont pas commenté.",economie,Reuters,2024-05-25,28,politique,565.0826999999481
22,"Le Louvre atteint 9,6 millions de visiteurs en 2024","Selon nos informations, le musée du Louvre enregistre un record historique d'entrées, porté par la réouverture de la salle de La Joconde après deux ans de rénovation.",culture,L'Équipe,2024-09-08,27,culture,539.343700000245
23,"Le Louvre atteint 9,6 millions de visiteurs en 2024","Selon nos informations, le musée du Louvre enregistre un record historique d'entrées, porté par la réouverture de la salle de La Joconde après deux ans de rénovation.",culture,Le Figaro,2024-03-14,27,culture,536.74460000002
24,Ligue 1 : Monaco champion de France dix ans après,"Monaco décroche son dixième titre de champion en battant Marseille 3-1, devançant le PSG d'un seul point lors de la dernière journée. Les autorités compétentes n'ont pas commenté.",sport,Le Parisien,2024-03-13,28,sport,538.3578999999372
25,Paralympiques de Paris : record d'audience télévisée,"Selon nos informations, les Jeux paralympiques de Paris 2024 établissent un record avec 4,2 millions de téléspectateurs par soirée, soit une progression de 40 pourcent.",sport,L'Équipe,2024-10-28,25,sport,511.1060000008365
26,Léon Marchand améliore son record du monde du 200 m brasse,"Dans le Centre aquatique olympique, Léon Marchand abaisse de sept centièmes son propre record du monde du 200 mètres brasse.",sport,Reuters,2024-10-26,20,sport,480.93450000033044
27,TotalEnergies annonce un bénéfice record de 19 milliards,"Le groupe pétrolier publie 19,2 milliards d'euros de bénéfice net, en hausse de 28 pourcent. Hausse du dividende et rachat d'actions annoncés.",economie,Reuters,2024-10-23,22,economie,513.3163000000422
28,Référendum en Nouvelle-Calédonie : résultat contesté,"Le référendum a donné 96,5 pourcent pour le maintien, chiffre jugé non représentatif par les indépendantistes qui boycottaient le scrutin. Les autorités compétentes n'ont pas commenté.",politique,Le Figaro,2024-10-09,26,faits_divers,544.2382000001089
29,"Inflation : les prix ralentissent à 2,1 pourcent","Mise à jour — L'INSEE a publié ses données d'octobre. La hausse des prix ressort à 2,1 pourcent sur un an, son niveau le plus bas depuis vingt-six mois, portée par la détente de l'énergie.",economie,Libération,2024-03-22,35,economie,582.8189000003476
30,Le CAC 40 franchit les 8 000 points pour la première fois,"Mise à jour — La Bourse de Paris inscrit un record historique, le CAC 40 franchissant le niveau symbolique des 8 000 points en séance.",economie,Le Figaro,2024-05-04,25,economie,499.46509999972477
31,Carambolage sur l'A10 : trois morts et douze blessés,Mise à jour — Un carambolage de dix-sept véhicules dont trois poids lourds sur l'A10 à Dourdan a causé trois morts et douze blessés dont quatre en urgence absolue.,faits_divers,L'Équipe,2024-01-13,29,faits_divers,579.5435999998517
32,Prix Goncourt pour Kamel Daoud,"Mise à jour — L'académie Goncourt couronne Kamel Daoud pour son roman Houris, une fresque sur la décennie noire en Algérie.",culture,Le Figaro,2024-07-26,21,culture,505.00560000000405
33,Disparition d'une adolescente dans le Vaucluse,Les gendarmes du Vaucluse lancent un avis de recherche après la disparition d'une adolescente de quinze ans depuis quatre jours. Les autorités compétentes n'ont pas commenté.,faits_divers,Libération,2024-07-08,26,faits_divers,546.1482000000615
34,La France prend la présidence de l'UE,"Paris a officiellement pris la présidence tournante du Conseil de l'UE pour six mois, avec pour priorités l'union de l'énergie et la régulation numérique. Les autorités compétentes n'ont pas commenté.",politique,Le Parisien,2024-10-19,30,politique,556.1258999996426
35,TotalEnergies annonce un bénéfice record de 19 milliards,"Le groupe pétrolier publie 19,2 milliards d'euros de bénéfice net, en hausse de 28 pourcent. Hausse du dividende et rachat d'actions annoncés. Les autorités compétentes n'ont pas commenté.",economie,Libération,2024-11-22,28,politique,541.631299999608
36,Remaniement : trois secrétaires d'État remplacés,,politique,Reuters,2024-03-25,0,politique,439.7645000008197
37,Grève SNCF : syndicats rejettent les propositions salariales,"Selon nos informations, la troisième journée de grève a paralysé un quart du trafic TGV. Les syndicats rejettent la hausse de 4,3 pourcent proposée sur deux ans.",economie,Le Figaro,2024-12-03,27,politique,555.9898999999859
38,Meurtre à Nantes : un suspect interpellé,Mise à jour — La PJ nantaise a interpellé un homme de trente-deux ans soupçonné du meurtre d'un voisin dans le quartier Bellevue quarante-huit heures après les faits.,faits_divers,Les Échos,2024-02-02,28,faits_divers,609.54909999964
